set;meta1;meta2;meta3;meta4;meta5;meta6;meta7;meta8;first_patch;last_patch;meta;period
CORE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;3749;5834;1;START
EXPERT1;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;3749;5834;1;END
NAXX;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;6024;6898;2;START
GVG;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;7628;8108;2;END
BRM;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;8311;9554;3;START
TGT;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;9786;10604;3;MID
LOE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;10833;12266;3;END
OG;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;12574;13807;4;START
KARA;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;13921;15300;4;MID
GADGZ;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;15590;17994;4;END
UNGORO;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;18336;20022;5;START
ICECROWN;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;20457;22115;5;MID
KNK;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;22611;23576;5;END
WW;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;23966;25252;6;START
BOOMSDAY;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;25770;27405;6;MID
RASTAK;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;27845;29349;6;END
SHADOWS;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;29933;31761;7;START
ULDUM;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;32708;36393;7;MID
DRAGONS;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;37060;39282;7;MID
GALAK;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;39954;43246;7;END
AOO;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;44222;51510;8;START
DH;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;44222;51510;8;END
